437	1:2 2:1 3:4 4:0 5:3	delete the second object from the left	1:2 2:4 3:0 4:3
438	1:0 2:2 3:4 4:3 5:1	swap the second and third figures	1:0 2:4 3:2 4:3 5:1
440	1:2 2:1 3:3 4:0 5:4	delete the rightmost figure	1:2 2:1 3:3 4:0
441	1:4 2:0 3:1 4:2 5:3	remove center one	1:4 2:0 3:2 4:3
442	1:0 2:4 3:2 4:3 5:1	remove 4th figure	1:0 2:4 3:2 4:1
443	1:3 2:1 3:2 4:4 5:0	starting from the left, swap the 1st and 4th figure	1:4 2:1 3:2 4:3 5:0
444	1:4 2:0 3:3 4:1 5:2	remove the fourth object	1:4 2:0 3:3 4:2
445	1:1 2:2 3:0 4:3 5:4	remove the first figure	1:2 2:0 3:3 4:4
446	1:0 2:2 3:3 4:4 5:1	remove the middle figure	1:0 2:2 3:4 4:1
447	1:3 2:2 3:4 4:1 5:0	swap the items in first and fourth	1:1 2:2 3:4 4:3 5:0
